,category,expiration_date,name,price,product_id,production_date,quantity,rating,status,normalized_price
251,Молочные продукты,2026-02-06,Камамбер,5364,252,1992-05-14,627,1.15,Available for Pickup,0.00122550755524037
252,Молочные продукты,2024-03-06,Сыр,4107,253,2004-01-01,268,2.74,On Backorder,0.0009383220599127888
253,Молочные продукты,2017-01-03,Сметана,4099,254,1994-05-05,282,1.99,New,0.0009364943081525497
254,Мясо,2024-04-06,Пироги с мясом,1436,255,1992-04-03,813,1.31,Out of Stock,0.00032808144096293276
255,Фрукты,2024-07-07,Виноград,1249,256,2020-09-03,52,2.43,Pending,0.0002853577435673419
256,Овощи,2002-03-02,Патиссон,3318,257,1995-02-15,274,0.65,Out of Stock,0.0007580600425591997
257,Овощи,2013-01-08,Огурец,9388,258,2012-10-05,411,2.0,On Backorder,0.002144866690640677
258,Напитки,2011-02-01,Смузи бананово-клубничный,9222,259,2003-06-08,849,1.86,Awaiting Payment,0.0021069408416157145
259,Мясо,2019-01-07,Сырокопченая колбаса,2264,260,2002-06-17,702,0.82,Out of Stock,0.0005172537481476879
260,Товары для дома,2021-05-22,Зубная паста,6638,261,1998-01-06,494,1.9,Backorder,0.0015165770230584593
261,Фрукты,2010-08-09,Смородина,6154,262,2000-01-01,703,2.24,Pending,0.001405998041563989
262,Напитки,2023-06-17,Гатчинская,2873,263,1994-03-06,103,4.86,Backorder,0.0006563913508958953
263,Овощи,2029-06-07,Огурец,5419,264,2008-01-08,334,1.55,Awaiting Review,0.0012380733485920143
264,Напитки,2014-03-05,Burn,6523,265,1999-05-15,325,2.56,Shipping,0.0014903030915050211
265,Бакалея,2026-01-12,Томаты в собственном соку,1913,266,2007-07-15,497,0.36,Returned,0.0004370611396671938
266,Фрукты,2019-10-08,Нектарин,6124,267,2013-01-07,169,1.86,Awaiting Payment,0.001399143972463092
267,Напитки,2022-01-07,Балаковская,7502,268,1991-06-01,306,0.18,Backorder,0.0017139742131642907
268,Мясо,2025-08-04,Пастрома,6814,269,2020-06-02,653,2.78,Returned,0.0015567875617837211
269,Товары для дома,2020-04-05,Пакеты для запекания,5126,270,2015-02-03,591,3.76,In Stock,0.0011711319403732543
270,Бакалея,2026-05-09,Паприка сладкая молотая,1795,271,2021-04-16,884,3.29,On Backorder,0.0004101018012036659
271,Бакалея,2028-03-03,Повидло,4754,272,2010-07-06,744,4.16,Available for Pickup,0.0010861414835221324
272,Фрукты,2015-02-02,Апельсин,4637,273,2008-01-12,805,2.33,Delivered,0.0010594106140286346
273,Овощи,2010-09-08,Кабачок,1082,274,2008-09-05,172,4.42,Pending,0.00024720342557234905
274,Бакалея,2028-04-23,Чай зеленый,5026,275,1996-01-06,628,4.65,Awaiting Payment,0.0011482850433702646
275,Товары для дома,2022-05-06,Шампунь,3419,276,2021-07-04,733,3.76,In Stock,0.0007811354085322194
276,Фрукты,1999-05-09,Груша,2966,277,1993-08-11,123,3.35,Awaiting Review,0.0006776389651086759
277,Бакалея,2024-11-09,Чабрец сушеный,6340,278,2017-05-01,202,3.47,New,0.0014484932699895497
278,Бакалея,2016-03-02,Каша из амаранта,4721,279,1993-02-01,704,0.01,Backorder,0.001078602007511146
279,Товары для дома,2012-03-06,Пена для бритья,446,280,2002-04-02,392,2.51,Pending,0.00010189716063333426
280,Товары для дома,2019-06-17,Пакеты для растений,6403,281,2018-06-08,86,2.09,In Stock,0.0014628868151014334
281,Молочные продукты,2024-04-23,Йогурт,2268,282,1996-02-06,684,4.43,Refunded,0.0005181676240278074
282,Напитки,2004-09-03,Латте,2212,283,2003-01-13,550,3.0,Refunded,0.0005053733617061332
283,Молочные продукты,2009-08-19,Творог,1178,284,2007-01-09,926,1.5,Awaiting Review,0.0002691364466952192
284,Молочные продукты,1996-02-02,Чеддер,1744,285,1994-01-06,102,3.21,Available for Pickup,0.00039844988373214117
285,Фрукты,2020-01-02,Манго,776,286,2014-02-07,150,3.7,Awaiting Payment,0.00017729192074320043
286,Напитки,2029-01-06,Артек,9316,287,2020-04-19,799,4.43,Awaiting Review,0.002128416924798525
287,Напитки,2016-11-02,Увинская жемчужина,3860,288,2011-02-03,447,3.58,Sold,0.0008818902243154041
288,Бакалея,2017-01-05,Каша из проса,6008,289,2014-07-07,945,1.31,Out of Stock,0.0013726415719396239
289,Товары для дома,2026-02-12,Пакеты для тренинга,4417,290,2013-02-05,188,3.89,On Backorder,0.001009147440622057
290,Напитки,2027-11-16,Кола,810,291,2011-05-13,653,3.2,Refunded,0.00018505986572421693
291,Бакалея,2025-02-19,"Семечки (тыквенные, подсолнечника)",3822,292,1998-01-05,385,4.75,Shipping,0.000873208403454268
292,Овощи,2016-06-02,Ямс,6653,293,1995-05-09,574,3.42,New,0.0015200040576089078
293,Напитки,2027-03-03,Омская,6349,294,2014-07-04,631,1.7,Sold,0.001450549490719819
294,Бакалея,2009-03-05,Сыворотка молочная,3318,295,1990-02-01,995,1.99,Cancelled,0.0007580600425591997
295,Напитки,2023-02-06,Массандра,9019,296,2020-03-20,884,0.87,Sold,0.002060561640699645
296,Молочные продукты,1992-06-18,Айран,1359,297,1990-01-06,728,4.79,In Stock,0.0003104893302706306
297,Молочные продукты,2017-11-18,Тан,7958,298,2004-01-13,592,4.12,Shipping,0.001818156063497924
298,Фрукты,2028-02-08,Черешня,9779,299,1990-01-14,908,3.3,Shipping,0.002234198057922367
299,Товары для дома,2026-02-02,Кастрюли,5105,300,2009-06-14,724,4.38,Delivered,0.0011663340920026264
300,Бакалея,2018-04-06,Йогурт натуральный,1585,301,2008-03-09,157,3.33,Pending,0.00036212331749738743
301,Мясо,2020-06-02,Куриные грудки,7811,302,2001-04-03,295,3.24,Pending,0.001784571124903529
302,Товары для дома,2014-09-02,Моющее средство для посуды,6008,303,1997-07-06,810,4.47,Pending,0.0013726415719396239
303,Бакалея,2022-02-04,Каша из дробленой ячменя,9294,304,2021-04-01,369,3.24,Available for Pickup,0.0021233906074578667
304,Молочные продукты,2017-02-16,Пармезан,6185,305,2010-09-07,901,4.52,Delivered,0.0014130805796349157
305,Мясо,2018-08-19,Куриные ножки,4771,306,2014-01-11,788,0.45,In Stock,0.0010900254560126407
306,Напитки,2024-06-01,Вологодская,4111,307,2014-02-10,442,1.64,Backorder,0.0009392359357929084
307,Овощи,2014-08-07,Щавель,1583,308,1995-01-10,132,0.82,Out of Stock,0.00036166637955732764
308,Бакалея,2026-02-04,Полба,3353,309,2013-03-03,246,3.08,On Backorder,0.0007660564565102461
309,Мясо,2004-03-01,Утиная печень,4374,310,1992-05-01,636,2.12,Shipping,0.0009993232749107715
310,Мясо,2029-03-07,Засоленное мясо,2949,311,2015-03-04,138,3.08,Awaiting Payment,0.0006737549926181676
311,Бакалея,2005-03-04,Душистый перец горошком,7138,312,2002-04-02,449,4.2,Shipping,0.001630811508073408
312,Бакалея,2024-04-02,Любисток сушеный,5887,313,2019-01-02,816,4.34,Awaiting Payment,0.0013449968265660064
313,Бакалея,2026-05-11,Овсянка,8062,314,1997-01-09,756,3.18,In Stock,0.0018419168363810333
314,Фрукты,2030-10-02,Кокос,802,315,2010-01-05,279,1.93,New,0.00018323211396397776
315,Бакалея,2017-06-01,Кетчуп,6747,316,2002-01-04,432,0.76,New,0.0015414801407917181
316,Бакалея,2029-03-15,Каша из амаранта,9714,317,2004-08-11,314,2.89,Cancelled,0.002219347574870424
317,Овощи,2030-05-05,Капуста белокочанная,6234,318,2011-03-05,348,2.03,Temporarily Unavailable,0.0014242755591663808
318,Напитки,2024-08-08,Боржоми,3208,319,2021-02-01,236,4.81,Delivered,0.0007329284558559111
319,Овощи,2014-03-05,Брюква,4169,320,2007-02-08,695,1.36,Cancelled,0.0009524871360546425
320,Товары для дома,2008-01-20,Пакеты для походов,7429,321,1991-01-07,871,0.2,On Backorder,0.0016972959783521082
321,Молочные продукты,2028-02-09,Адыгейский сыр,2408,322,2011-09-16,826,1.05,Available for Pickup,0.000550153279831993
322,Овощи,2015-01-09,Баклажан,348,323,2013-03-20,84,2.19,Shipping,7.950720157040431e-05
323,Фрукты,2010-04-13,Груша,3582,324,1991-02-18,93,3.65,Temporarily Unavailable,0.0008183758506470927
324,Бакалея,2021-03-07,Чай черный,1760,325,2005-01-19,753,2.26,Out of Stock,0.0004021053872526195
325,Товары для дома,2023-03-24,Пакеты для конференции,5019,326,2020-03-01,736,3.17,Temporarily Unavailable,0.0011466857605800553
326,Напитки,2023-03-04,Газированная вода,5439,327,2021-04-04,555,4.06,Refunded,0.0012426427279926121
327,Фрукты,2011-02-15,Груша,8724,328,1998-01-05,313,4.74,New,0.0019931632945408254
328,Овощи,2020-01-01,Топинамбур,3740,329,2019-09-16,388,1.42,On Backorder,0.0008544739479118164
329,Овощи,2002-06-04,Батат,6971,330,1997-02-07,621,3.43,In Stock,0.0015926571900784152
330,Овощи,2029-02-10,Батат,5834,331,1996-11-01,18,3.24,Sold,0.0013328879711544217
331,Молочные продукты,2015-01-21,Камамбер,9909,332,1996-02-09,939,1.43,Backorder,0.002263899024026254
332,Напитки,2027-01-21,Кашинская,4206,333,1991-02-04,286,2.38,Awaiting Payment,0.0009609404879457487
333,Мясо,2019-05-10,Паштет,7754,334,2003-01-06,219,2.36,Returned,0.0017715483936118247
334,Овощи,2020-01-12,Батат,6266,335,2016-06-05,583,2.91,Cancelled,0.0014315865662073374
335,Напитки,2004-08-04,Sprite Zero,2354,336,2002-01-04,232,4.37,Pending,0.0005378159554503786
336,Мясо,2028-02-18,Кровяная колбаса,6496,337,1998-03-04,103,3.74,Awaiting Review,0.0014841344293142138
337,Молочные продукты,2003-01-23,Чеддер,8601,338,1996-02-28,833,2.32,New,0.001965061611227148
338,Фрукты,2018-04-01,Мандарин,6101,339,1990-05-01,607,3.55,On Backorder,0.0013938891861524044
339,Товары для дома,2012-09-02,Полотенца для рук,1612,340,1996-04-05,564,4.48,On Backorder,0.0003682919796881947
340,Молочные продукты,2022-10-03,Масло сливочное,1731,341,2013-01-04,626,1.56,Cancelled,0.0003954797871217525
341,Бакалея,2019-04-04,Мед,1290,342,2004-01-15,604,1.49,Out of Stock,0.0002947249713385677
342,Напитки,2018-04-08,Шадринская,8472,343,2004-09-05,813,0.59,Awaiting Review,0.0019355891140932912
343,Напитки,2026-09-17,Московская,1693,344,2020-02-05,115,3.39,Cancelled,0.00038679796626061636
344,Молочные продукты,2029-03-16,Кефир,555,345,2022-02-02,792,1.69,Delivered,0.0001268002783665931
345,Напитки,2025-01-04,Adrenaline Rush,859,346,2014-01-03,40,3.27,Sold,0.00019625484525568192
346,Овощи,2004-01-15,Фенхель,2442,347,2001-02-05,399,1.12,Delivered,0.0005579212248130095
347,Товары для дома,2028-02-21,Полотенца банные,3825,348,2005-10-04,721,1.6,Awaiting Review,0.0008738938103643577
348,Товары для дома,2019-03-06,Электрочайник,9183,349,2015-02-26,953,1.09,Delivered,0.0020980305517845485
349,Молочные продукты,2029-03-01,Адыгейский сыр,3045,350,2021-02-10,674,1.78,Out of Stock,0.0006956880137410377
350,Овощи,2017-01-09,Морковь,6401,351,1994-01-01,67,4.13,Delivered,0.0014624298771613736
351,Мясо,2020-02-03,Бастурма,4373,352,2013-03-06,659,3.68,Backorder,0.0009990948059407415
352,Мясо,2013-01-20,Чебуреки,3638,353,1995-02-02,74,4.04,New,0.0008311701129687669
353,Овощи,2002-07-14,Окра,749,354,1999-07-08,983,3.07,Awaiting Payment,0.0001711232585523932
354,Фрукты,2028-11-02,Нектарин,7758,355,2001-01-01,488,2.13,Shipping,0.0017724622694919444
355,Товары для дома,2017-09-02,Ложки чайные,9163,356,1994-03-09,325,1.63,Shipping,0.0020934611723839504
356,Бакалея,2008-02-01,Зеленый перец молотый,5776,357,1992-05-01,349,2.85,Refunded,0.0013196367708926877
357,Товары для дома,1999-07-18,Парфюм,4205,358,1996-01-01,933,2.16,In Stock,0.0009607120189757187
358,Мясо,2017-05-05,Фарш свиной,5470,359,2007-01-09,921,3.96,In Stock,0.001249725266063539
359,Напитки,2015-01-04,Кисель ягодный,7819,360,2009-04-03,681,1.81,Shipping,0.001786398876663768
360,Товары для дома,2018-08-13,Робот-пылесос,6335,361,2002-03-03,201,2.65,Refunded,0.0014473509251394004
361,Товары для дома,2030-02-11,Пакеты для выставки,6237,362,2006-03-15,330,3.85,On Backorder,0.0014249609660764704
362,Товары для дома,2022-02-16,Шампунь,1423,363,2022-01-02,277,2.39,Backorder,0.0003251113443525441
363,Напитки,2009-04-24,Ставропольская,9816,364,1991-06-01,442,1.72,Out of Stock,0.0022426514098134735
364,Бакалея,1994-02-14,Каша из дробленной ржаной крупы,7275,365,1992-05-07,13,2.7,On Backorder,0.0016621117569675038
365,Бакалея,2014-02-04,Тмин молотый,763,366,2006-04-02,210,3.88,Cancelled,0.00017432182413281176
366,Бакалея,2026-11-01,Варенье,3837,367,2022-07-02,982,2.55,New,0.0008766354380047165
367,Молочные продукты,2022-01-03,Голландский сыр,3168,368,2016-08-04,770,4.84,Backorder,0.0007237896970547151
368,Фрукты,2024-06-12,Абрикос,5710,369,2022-04-04,334,3.11,Sold,0.0013045578188707145
369,Товары для дома,2025-01-09,Подставки под столовые приборы,4670,370,1990-01-03,258,0.98,Returned,0.001066950090039621
370,Товары для дома,1993-05-04,Зубная паста,4949,371,1990-07-15,501,2.63,Sold,0.0011306929326779624
371,Мясо,2010-01-23,Говядина,2315,372,2002-04-13,597,2.81,New,0.0005289056656192126
372,Фрукты,2028-01-12,Виноград,5182,373,2016-06-10,732,3.24,Shipping,0.0011839262026949286
373,Бакалея,2020-03-20,Йогурт натуральный,7339,374,1993-04-02,373,1.79,Returned,0.0016767337710494174
374,Товары для дома,2008-04-05,Освежитель воздуха,6557,375,2003-01-03,753,4.3,Temporarily Unavailable,0.0014980710364860376
375,Бакалея,2022-05-13,Мелисса сушеная,5644,376,1994-03-18,444,0.18,Returned,0.0012894788668487412
376,Овощи,2006-02-02,Кабачок,2469,377,2004-01-05,829,1.19,In Stock,0.0005640898870038168
377,Фрукты,2021-02-01,Персик,1775,378,2005-04-02,462,2.69,Returned,0.00040553242180306796
378,Бакалея,2023-07-02,Каша из дробленой кукурузы,1776,379,2021-01-09,535,0.49,Available for Pickup,0.0004057608907730979
379,Фрукты,2025-10-04,Кокос,6353,380,2009-01-05,753,2.65,Sold,0.0014514633665999384
380,Напитки,2025-01-07,Энергетический напиток,2694,381,2020-03-14,576,3.83,Delivered,0.0006154954052605437
381,Молочные продукты,2022-05-04,Российский сыр,7775,382,2006-01-05,549,3.62,Awaiting Payment,0.0017763462419824526
382,Товары для дома,2007-03-20,Моющее средство для стекол,4934,383,1999-06-02,917,3.14,Pending,0.001127265898127514
383,Мясо,2004-02-10,Козлятина,9971,384,1996-02-05,868,4.04,In Stock,0.0022780641001681075
384,Напитки,2025-01-20,Тверская,7460,385,2017-05-17,234,3.89,On Backorder,0.001704378516423035
385,Фрукты,2008-03-14,Крыжовник,3541,386,2002-02-01,366,1.6,Available for Pickup,0.0008090086228758668
386,Напитки,1995-01-07,Алуштинская,8590,387,1994-01-21,886,3.17,Pending,0.001962548452556819
387,Фрукты,2012-02-05,Авокадо,8975,388,2005-06-06,383,4.73,Delivered,0.0020505090060183298
388,Молочные продукты,2023-01-08,Кефир,6292,389,2016-01-03,296,2.77,Out of Stock,0.0014375267594281147
389,Мясо,2013-02-05,Студень,896,390,1999-06-02,576,0.44,Shipping,0.0002047081971467881
390,Товары для дома,2028-01-01,Термосы,4915,391,2018-03-10,59,1.57,Awaiting Payment,0.001122924987696946
391,Овощи,2030-01-05,Редис,6396,392,2012-02-05,966,0.22,Delivered,0.001461287532311224
392,Фрукты,2012-07-02,Шелковица,5435,393,2005-04-08,562,0.14,Awaiting Review,0.0012417288521124926
393,Напитки,2001-04-05,Соевый напиток,1344,394,1992-07-05,388,1.92,Out of Stock,0.00030706229572018216
394,Овощи,2021-06-08,Цветная капуста,3349,395,2021-01-05,914,1.93,Cancelled,0.0007651425806301266
395,Овощи,2024-03-01,Репа,7336,396,2015-01-04,234,4.43,New,0.0016760483641393277
396,Молочные продукты,2017-08-09,Эмменталь,4822,397,2007-02-02,553,4.02,Returned,0.0011016773734841656
397,Товары для дома,2000-05-06,Пакеты для косметики,8920,398,1990-11-03,567,3.49,In Stock,0.0020379432126666854
398,Овощи,2014-01-05,Цукини,6938,399,2005-08-02,279,0.56,Temporarily Unavailable,0.0015851177140674285
399,Мясо,2028-03-07,Сардельки,9437,400,2010-06-23,878,3.55,Delivered,0.002156061670172142
400,Товары для дома,2009-05-01,Пакеты многоразовые,3263,401,2004-09-20,525,2.73,Shipping,0.0007454942492075554
401,Напитки,2017-01-15,Мордовская,9690,402,2006-02-24,641,2.22,Shipping,0.002213864319589706
402,Товары для дома,2023-01-13,Пакеты для растений,1667,403,2009-09-11,876,3.69,Shipping,0.000380857773039839
403,Мясо,2016-12-03,Фарш говяжий,5362,404,1993-04-07,248,0.73,Returned,0.0012250506173003101
404,Товары для дома,2017-02-02,Тарелки глубокие,9546,405,1999-02-05,90,1.59,Awaiting Payment,0.002180964787905401
405,Фрукты,2015-03-13,Грейпфрут,1682,406,2008-02-03,54,2.39,Pending,0.0003842848075902875
406,Товары для дома,2030-06-09,Пищевая пленка,8470,407,1996-01-19,670,1.71,Awaiting Review,0.0019351321761532313
407,Бакалея,2013-01-11,Пастила,5901,408,2005-01-02,160,1.95,Temporarily Unavailable,0.0013481953921464249
408,Напитки,2010-08-01,Спрайт,9033,409,2001-06-11,136,0.72,Awaiting Review,0.0020637602062800638
409,Бакалея,2013-09-01,Чай черный,9019,410,1997-01-01,754,2.75,In Stock,0.002060561640699645
410,Овощи,2015-03-23,Батат,6529,411,2014-10-02,900,2.07,Sold,0.0014916739053252004
411,Бакалея,2023-03-23,Розмарин сушеный,4013,412,2017-01-06,729,4.12,Temporarily Unavailable,0.0009168459767299785
412,Молочные продукты,2008-07-23,Йогурт,9334,413,2008-01-15,799,1.71,Temporarily Unavailable,0.0021325293662590628
413,Фрукты,2008-02-04,Кокос,5151,414,2005-01-09,900,1.27,Refunded,0.0011768436646240018
414,Молочные продукты,1992-06-09,Топлёное молоко,2114,415,1990-08-13,321,3.14,In Stock,0.0004829834026432032
415,Овощи,2022-05-06,Перец болгарский,1510,416,2021-05-02,266,4.75,Returned,0.00034498814474514513
416,Бакалея,2008-04-03,Лавровый лист сушеный,3628,417,1998-01-07,359,0.7,Cancelled,0.0008288854232684679
417,Овощи,2029-01-12,Патиссон,3179,418,2017-02-02,550,4.03,Out of Stock,0.000726302855725044
418,Молочные продукты,2022-04-20,Молоко,1011,419,1993-03-03,143,0.95,Out of Stock,0.00023098212870022633
419,Фрукты,2023-12-08,Смородина,1485,420,2018-01-08,935,3.78,Backorder,0.0003392764204943977
420,Фрукты,2025-09-03,Мандарин,4434,421,2018-02-06,796,1.86,On Backorder,0.0010130314131125654
421,Мясо,1995-03-04,Утка,4260,422,1994-05-01,275,1.81,Cancelled,0.0009732778123273632
422,Овощи,2024-02-06,Свекла,2829,423,2013-03-04,752,4.55,Delivered,0.0006463387162145799
423,Фрукты,2006-02-04,Черешня,3114,424,1999-10-20,768,1.97,Backorder,0.0007114523726731006
424,Фрукты,1996-01-03,Папайя,2560,425,1993-05-10,65,3.95,In Stock,0.0005848805632765375
425,Напитки,2014-06-12,Sprite Zero,8840,426,2011-10-09,989,0.38,Cancelled,0.0020196656950642934
426,Овощи,2018-03-01,Бамия,1805,427,2014-01-11,558,2.41,Temporarily Unavailable,0.0004123864909039649
427,Овощи,2023-05-06,Эндивий,7574,428,2012-01-01,368,4.15,On Backorder,0.0017304239790064432
428,Напитки,2008-01-02,Обуховская,691,429,1995-01-25,121,0.93,Shipping,0.00015787205829065915
429,Напитки,2027-01-03,Evian,4821,430,2022-01-10,651,2.89,Awaiting Payment,0.0011014489045141356
430,Бакалея,1996-10-02,"Специи (перец, куркума, зира)",4451,431,1995-03-11,65,4.54,Out of Stock,0.0010169153856030735
431,Овощи,2013-01-02,Сельдерей,5318,432,1995-04-02,904,1.57,Delivered,0.0012149979826189946
432,Бакалея,2021-05-04,Йогурт натуральный,6611,433,1992-01-07,827,3.49,Available for Pickup,0.0015104083608676521
433,Бакалея,2018-02-05,Чабрец сушеный,8017,434,2013-01-13,226,1.81,Refunded,0.0018316357327296878
434,Овощи,2025-01-05,Цветная капуста,3654,435,2000-01-04,992,3.85,Shipping,0.0008348256164892453
435,Фрукты,2004-02-05,Ананас,8555,436,1999-08-12,984,3.76,Awaiting Payment,0.0019545520386057727
436,Товары для дома,2027-05-13,Мыло твердое,2599,437,2021-01-07,708,3.26,Out of Stock,0.0005937908531077035
437,Напитки,2024-06-07,Одинцовская,2032,438,2015-02-12,105,2.29,Cancelled,0.0004642489471007516
438,Фрукты,2015-01-13,Помело,2892,439,2013-06-19,991,3.57,On Backorder,0.0006607322613264634
439,Фрукты,2027-01-01,Виноград,9269,440,2018-02-17,270,4.68,Shipping,0.0021176788832071194
440,Молочные продукты,2008-02-05,Курт,4944,441,2001-08-11,536,4.37,New,0.001129550587827813
441,Напитки,2028-03-03,San Pellegrino,7466,442,2017-01-01,538,1.25,Available for Pickup,0.0017057493302432144
442,Овощи,2024-09-07,Брокколи,3666,443,1990-06-06,642,2.56,Shipping,0.000837567244129604
443,Напитки,2027-01-01,Кристалл Байкала,3086,444,2017-10-01,700,0.3,In Stock,0.0007050552415122635
444,Молочные продукты,1999-05-02,Сметана,3212,445,1998-04-01,746,1.85,Pending,0.0007338423317360306
445,Бакалея,2027-01-01,Сухое молоко,2700,446,2009-03-01,839,1.49,Available for Pickup,0.0006168662190807232
446,Молочные продукты,2022-04-06,Брынза,1274,447,2019-02-16,478,2.57,On Backorder,0.00029106946781808936
447,Бакалея,2015-03-07,Горошек консервированный,1152,448,1995-04-03,441,3.86,Returned,0.00026319625347444184
448,Бакалея,2001-03-07,Разрыхлитель теста,999,449,1994-01-03,811,4.8,Sold,0.00022824050105986756
449,Овощи,2010-01-01,Тыква,7934,450,1999-04-03,46,4.39,Out of Stock,0.0018126728082172065
450,Бакалея,2028-01-05,Паприка острая молотая,3344,451,2004-09-01,555,1.8,Backorder,0.0007640002357799771
451,Бакалея,2010-05-02,Гвоздика молотая,2424,452,2004-06-06,469,3.64,In Stock,0.0005538087833524715
452,Овощи,2009-01-05,Патиссон,4164,453,1997-01-16,13,3.67,Returned,0.000951344791204493
453,Молочные продукты,2012-04-16,Варенец,7457,454,2009-04-07,31,4.99,Pending,0.0017036931095129452
454,Овощи,2026-08-13,Брокколи,9491,455,2009-02-15,480,3.75,Delivered,0.002168398994553757
455,Товары для дома,2019-04-06,Блендер,3386,456,2012-04-11,815,3.67,New,0.0007735959325212327
456,Овощи,2026-01-22,Окра,4908,457,2016-06-18,662,4.98,Awaiting Payment,0.0011213257049067368
457,Фрукты,2025-02-13,Айва,5491,458,1992-02-04,847,3.93,Pending,0.0012545231144341668
458,Товары для дома,2019-01-03,Зубная паста,8362,459,2011-03-07,241,0.81,Sold,0.0019104575273900025
459,Фрукты,2027-01-02,Малина,6476,460,2021-08-02,655,2.15,Delivered,0.001479565049913616
460,Фрукты,2027-01-18,Груша,7084,461,2012-02-03,746,4.86,Refunded,0.0016184741836917935
461,Молочные продукты,2025-10-03,Пармезан,8880,462,1999-08-17,107,3.12,Awaiting Review,0.0020288044538654894
462,Овощи,2017-01-14,Ямс,3665,463,2012-02-28,627,1.74,Pending,0.0008373387751595742
463,Товары для дома,2020-07-20,Пакеты для концерта,6272,464,2018-03-12,212,1.05,On Backorder,0.0014329573800275167
464,Бакалея,2027-04-07,Гвоздика молотая,796,465,2018-09-16,426,0.31,Cancelled,0.00018186130014379836
465,Молочные продукты,2014-01-06,Шубат,6654,466,2002-02-01,72,3.21,On Backorder,0.0015202325265789376
466,Товары для дома,2011-02-09,Стаканы,4583,467,2007-06-01,536,1.95,Delivered,0.00104707328964702
467,Напитки,2010-03-07,Кубай,1507,468,1996-04-05,60,2.1,Refunded,0.0003443027378350555
468,Напитки,2014-08-04,Кашинская,1944,469,1997-03-01,601,2.99,On Backorder,0.00044414367773812065
469,Овощи,2028-01-16,Свекла,6025,470,2022-03-13,751,4.54,Awaiting Review,0.0013765255444301322
470,Бакалея,2007-05-02,Сельдерей сушеный,8986,471,1996-01-20,561,0.79,Awaiting Payment,0.0020530221646886584
471,Товары для дома,2009-03-11,Термосы,976,472,2005-01-16,103,4.88,On Backorder,0.0002229857147491799
472,Молочные продукты,2027-06-02,Ласси,6066,473,2022-05-03,666,1.02,Delivered,0.0013858927722013579
473,Напитки,2016-01-08,Vittel,4455,474,2006-04-03,29,0.19,Shipping,0.0010178292614831932
474,Мясо,2023-01-03,Стейк,209,475,1999-04-12,322,4.42,Cancelled,4.7750014736248566e-05
475,Бакалея,2013-01-25,"Орехи (грецкий орех, миндаль, фундук)",7774,476,1998-02-03,683,2.57,On Backorder,0.0017761177730124228
476,Овощи,2019-05-07,Ямс,6537,477,1997-01-06,164,2.5,Available for Pickup,0.0014935016570854396
477,Товары для дома,2024-05-01,Ложки столовые,5953,478,2006-01-04,142,1.95,Temporarily Unavailable,0.0013600757785879795
478,Напитки,2024-02-17,Кисель ягодный,5334,479,2020-02-10,982,4.82,New,0.001218653486139473
479,Фрукты,2015-01-10,Карамбола,3656,480,2006-04-02,75,0.62,New,0.0008352825544293051
480,Товары для дома,2015-03-08,Вилки,1103,481,1999-07-01,744,0.6,Awaiting Payment,0.0002520012739429769
481,Напитки,2008-05-05,Сочи,8014,482,2002-11-08,471,2.87,Awaiting Review,0.001830950325819598
482,Мясо,2003-02-23,Сервелат,6542,483,1996-01-09,170,4.57,Available for Pickup,0.0014946440019355891
483,Молочные продукты,2007-05-24,Камамбер,7185,484,2007-04-02,855,3.62,Available for Pickup,0.0016415495496648132
484,Мясо,2029-04-22,Самса,2995,485,2018-01-02,849,0.17,Refunded,0.0006842645652395429
485,Фрукты,2028-01-04,Фейхоа,3298,486,1999-04-03,812,0.63,Available for Pickup,0.0007534906631586018
486,Товары для дома,2018-03-18,Пакеты для тренинга,8502,487,2004-02-01,884,0.58,Shipping,0.0019424431831941882
487,Напитки,2024-01-04,Увинская жемчужина,6327,488,2017-01-08,563,1.58,Sold,0.001445523173379161
488,Фрукты,2011-03-03,Киви,3975,489,2002-01-01,885,1.44,In Stock,0.0009081641558688424
489,Напитки,2009-02-02,Севастопольская,333,490,2001-04-01,239,4.16,In Stock,7.608016701995585e-05
490,Напитки,2019-03-02,Забайкальская,6570,491,1993-07-05,933,2.2,Shipping,0.0015010411330964263
491,Мясо,2021-01-09,Куриные грудки,3770,492,2017-09-13,314,0.71,Temporarily Unavailable,0.0008613280170127134
492,Молочные продукты,2026-02-21,Пармезан,5769,493,2003-01-05,824,3.68,On Backorder,0.0013180374881024783
493,Товары для дома,2019-10-01,Кастрюли,536,494,1993-04-01,709,4.56,Awaiting Payment,0.00012245936793602505
494,Товары для дома,2023-11-03,Пакеты для заморозки,4026,495,1998-08-01,912,3.61,Shipping,0.0009198160733403671
495,Бакалея,2026-02-11,Гвоздика молотая,6304,496,2000-09-04,509,4.92,On Backorder,0.0014402683870684736
496,Товары для дома,2012-02-20,Тарелки мелкие,7685,497,1992-01-03,90,1.36,Pending,0.001755784034679762
497,Товары для дома,2027-07-08,Пакеты для кемпинга,8704,498,2019-03-02,497,0.31,Sold,0.0019885939151402274
498,Молочные продукты,2016-10-15,Ряженка,9300,499,2011-03-03,648,0.83,On Backorder,0.0021247614212780465
499,Напитки,2004-02-03,Вологодская,2252,500,1995-06-02,436,2.81,Backorder,0.000514512120507329
500,Овощи,2014-01-08,Цукини,2138,501,1990-03-05,454,4.5,Cancelled,0.0004884666579239208
